Feature,Feature_Subset,SHAP_Value,Adjusted_Probability,Probability_Change_Perc,Feature_Importance,Importance_Rank
total_calls,"(6.7, 12.0]",0.013915043,0.29007152,0.28571188,0.028330475,28
total_calls,"(89.3, 956.6]",-0.06624476,0.27384594,-1.3368458,0.028330475,28
offpeakcallsinout,"(-0.001, 0.7]",0.07409493,0.30261913,1.5404731,0.027680144,29
offpeakcallsinout,"(0.7, 7.3]",-0.021826452,0.28276685,-0.44475496,0.027680144,29
offpeakcallsinout,"(108.0, 170.7]",-0.008230661,0.28553236,-0.16820431,0.027680144,29
offpeakcallsinout,"(15.0, 24.0]",-0.020335542,0.28306934,-0.4145056,0.027680144,29
offpeakcallsinout,"(170.7, 1474.7]",0.024951944,0.2923496,0.51352084,0.027680144,29
offpeakcallsinout,"(24.0, 35.7]",-0.010111094,0.28514892,-0.20654798,0.027680144,29
offpeakcallsinout,"(35.7, 51.3]",-0.00399657,0.28639692,-0.08174777,0.027680144,29
offpeakcallsinout,"(51.3, 73.7]",-0.019724593,0.28319335,-0.40210485,0.027680144,29
offpeakcallsinout,"(7.3, 15.0]",-0.022238303,0.28268334,-0.45310557,0.027680144,29
offpeakcallsinout,"(73.7, 108.0]",-0.019879282,0.28316194,-0.40524602,0.027680144,29
monthsinservice,"(10.0, 12.0]",0.43873504,0.38456497,9.735057,0.16086571,3
monthsinservice,"(12.0, 14.0]",0.17315847,0.32392472,3.6710322,0.16086571,3
monthsinservice,"(14.0, 16.0]",0.06394097,0.3004805,1.3266116,0.16086571,3
monthsinservice,"(16.0, 19.0]",-0.014631881,0.2842283,-0.29861033,0.16086571,3
monthsinservice,"(19.0, 23.0]",-0.05465376,0.2761569,-1.1057496,0.16086571,3
monthsinservice,"(23.0, 26.0]",-0.07658811,0.27179396,-1.5420437,0.16086571,3
monthsinservice,"(26.0, 33.0]",-0.11268858,0.264708,-2.2506385,0.16086571,3
monthsinservice,"(33.0, 61.0]",-0.21454594,0.2453631,-4.1851296,0.16086571,3
monthsinservice,"(5.999, 8.0]",-0.18346947,0.25116265,-3.605175,0.16086571,3
monthsinservice,"(8.0, 10.0]",-0.13861378,0.25969288,-2.752152,0.16086571,3
peakcallsinout,"(-0.001, 2.0]",0.05834739,0.2993061,1.2091696,0.025955286,30
peakcallsinout,"(105.3, 140.3]",-0.025823768,0.28195688,-0.5257517,0.025955286,30
peakcallsinout,"(140.3, 204.3]",-0.03439515,0.2802248,-0.6989598,0.025955286,30
peakcallsinout,"(15.7, 30.3]",0.0043443,0.2881046,0.08901954,0.025955286,30
peakcallsinout,"(2.0, 15.7]",-0.002079825,0.2867888,-0.042560697,0.025955286,30
peakcallsinout,"(204.3, 2090.7]",-0.019810561,0.2831759,-0.40385127,0.025955286,30
peakcallsinout,"(30.3, 45.3]",0.0051572234,0.28827137,0.10569692,0.025955286,30
peakcallsinout,"(45.3, 62.0]",-0.01179837,0.2848051,-0.24093091,0.025955286,30
peakcallsinout,"(62.0, 81.0]",0.006185,0.28848228,0.12678802,0.025955286,30
peakcallsinout,"(81.0, 105.3]",-0.011455954,0.28487483,-0.23395717,0.025955286,30
maritalstatus,no,-0.047716357,0.2775458,-0.96685886,0.02462697,31
maritalstatus,unknown,0.021094734,0.29155228,0.4337877,0.02462697,31
maritalstatus,yes,0.011567905,0.28958842,0.23740232,0.02462697,31
